POS_X,POS_Y,VEL_X,VEL_Y,SENSOR_X,SENSOR_Y,NEAR_BANK,TS
944.590437163257,521.705122385434,-462,-548,937.8199364993981,517.4913627614051,False,0.03333333333333333
929.2325359834755,503.4715796511298,-460,-547,921.131130644502,509.20049726434695,False,0.03333333333333333
913.9262964606555,485.29937179708725,-459,-545,903.7750033087725,496.3236917030011,False,0.03333333333333333
898.6717185947972,467.1884988233065,-457,-543,888.0793457833989,464.04889191868443,False,0.03333333333333333
883.4688023859004,449.1389607297874,-456,-541,877.9198273302694,437.8988578582307,False,0.03333333333333333
868.3175478339651,431.1507575165301,-454,-539,853.653299402815,431.5086761205597,False,0.03333333333333333
853.2179549389914,413.22388918353454,-452,-537,842.2369101713881,409.9189268211785,False,0.03333333333333333
838.1700237009792,395.35835573080067,-451,-535,828.0742883260891,388.98048076505023,False,0.03333333333333333
823.1737541199286,377.55415715832856,-449,-534,824.7817879238283,378.468814679067,False,0.03333333333333333
808.2291461958396,359.8112934661182,-448,-532,813.5816012688978,383.77872634924637,False,0.03333333333333333
793.3361999287121,342.12976465416955,-446,-530,793.0047004810242,324.10382226537877,False,0.03333333333333333
778.4949153185461,324.50957072248264,-445,-528,766.9126351774171,336.1976517307311,False,0.03333333333333333
763.7052923653417,306.95071167105743,-443,-526,761.1174372710365,315.74330023083036,False,0.03333333333333333
748.9673310690989,289.453187499894,-442,-524,731.0275191416794,288.4949370056362,False,0.03333333333333333
734.2810314298176,272.0169982089923,-440,-523,723.3011568758135,277.69463468809954,False,0.03333333333333333
719.6463934474979,254.64214379835232,-439,-521,718.1620438146543,259.81861399501724,False,0.03333333333333333
705.0634171221396,237.32862426797408,-437,-519,705.6049060236127,242.20911265114228,False,0.03333333333333333
690.532102453743,220.07643961785757,-435,-517,687.2955932638625,216.26347971236683,False,0.03333333333333333
676.052449442308,202.8855898480028,-434,-515,695.7428952209414,210.88979522450867,False,0.03333333333333333
661.6244580878345,185.75607495840978,-432,-513,667.8018508102671,168.48219004988562,False,0.03333333333333333
647.2481283903224,168.6878949490785,-431,-512,634.7312022780479,160.33746944874864,False,0.03333333333333333
632.9234603497721,151.68104982000892,-429,-510,644.3561316236176,157.54246947514636,False,0.03333333333333333
618.6504539661832,134.7355395712011,-428,-508,607.2230169918437,128.3180239834845,True,0.03333333333333333
604.4291092395559,117.85136420265499,-426,506,609.529338470453,121.71749932631508,True,0.03333333333333333
590.2594261698902,134.67420469093935,-425,504,593.6642689401831,131.5086770423302,True,0.03333333333333333
576.1414047571859,151.43571029896196,-423,502,574.8838869620414,160.04117547669458,False,0.03333333333333333
562.0750450014433,168.13588102672284,-421,501,568.8626518879179,160.39731985800822,False,0.03333333333333333
548.0603469026622,184.774716874222,-420,499,547.4292623660155,184.12864288475174,False,0.03333333333333333
534.0973104608427,201.35221784145944,-418,497,543.3745011318035,221.28366868388684,False,0.03333333333333333
520.1859356759846,217.86838392843512,-417,495,531.90952030842,207.62074413508546,False,0.03333333333333333
506.3262225480882,234.32321513514907,-415,493,504.19616319702095,221.12357359005534,False,0.03333333333333333
492.51817107715334,250.71671146160128,-414,491,509.439526060378,262.7251216144389,False,0.03333333333333333
478.76178126318,267.04887290779175,-412,489,470.2473067639418,273.814020644134,False,0.03333333333333333
465.0570531061682,283.3196994737205,-411,488,467.8667311185852,290.76295356960253,False,0.03333333333333333
451.403986606118,299.5291911593875,-409,486,459.70712871557237,302.6397677621256,False,0.03333333333333333
437.8025817630293,315.6773479647928,-408,484,416.74890861836394,317.37916249682655,False,0.03333333333333333
424.2528385769022,331.7641698899363,-406,482,410.4360994357563,356.48329274390943,False,0.03333333333333333
410.75475704773663,347.7896569348181,-404,480,407.0900616983667,347.3423624424854,False,0.03333333333333333
397.30833717553264,363.7538090994382,-403,478,397.0106790299599,347.238035489317,False,0.03333333333333333
383.9135789602902,379.6566263837965,-401,477,386.93784985607516,376.5229095852146,False,0.03333333333333333
370.5704824020093,395.4981087878931,-400,475,374.01895182704766,398.17707963913705,False,0.03333333333333333
357.27904750068996,411.27825631172794,-398,473,355.0149608806274,388.4188220463891,False,0.03333333333333333
344.0392742563322,426.9970689553011,-397,471,342.18157218788974,438.96796461939414,False,0.03333333333333333
330.85116266893596,442.6545467186125,-395,469,333.1135205162498,435.8867668887032,False,0.03333333333333333
317.71471273850125,458.25068960166215,-394,467,335.59772736719003,441.6424576716362,False,0.03333333333333333
304.6299244650281,473.7854976044501,-392,466,303.6727966222603,481.98738992221325,False,0.03333333333333333
291.59679784851653,489.25897072697626,-390,464,274.62156638450494,475.89800341285354,False,0.03333333333333333
278.6153328889665,504.6711089692407,-389,462,296.46565123363837,499.86799116899897,False,0.03333333333333333
