POS_X,POS_Y,VEL_X,VEL_Y,SENSOR_X,SENSOR_Y,NEAR_BANK,TS
941.1384242955232,517.606748303821,-188,-223,941.578445612949,520.0065721447118,False,0.1
922.7418035037005,495.7655105299975,-183,-218,918.740792607797,502.2825595933126,False,0.1
904.8101376245316,474.47628667852973,-179,-212,896.777493798382,478.08553706653225,False,0.1
887.3434266580168,453.73907674941756,-174,-207,888.7746846063355,459.17104562141634,False,0.1
870.341670604156,433.553880742661,-170,-201,862.396444856507,437.7888328486933,False,0.1
853.8048694629492,413.9206986582601,-165,-196,850.6326730876372,415.6629551832723,False,0.1
837.7330232343965,394.8395304962148,-160,-190,837.4497474058738,393.6400342453578,False,0.1
822.1261319184977,376.3103762565251,-156,-185,828.6004109044857,371.51953644735113,False,0.1
806.9841955152528,358.333235939191,-151,-179,811.7812115087974,365.1188344009159,False,0.1
792.307214024662,340.90810954421255,-146,-174,791.7824361023721,339.09100903254887,False,0.1
778.0951874467252,324.0349970715897,-142,-168,780.0399256713935,326.9582415651449,False,0.1
764.3481157814423,307.7138985213225,-137,-163,771.2829636758419,312.3721593326101,False,0.1
751.0659990288134,291.9448138934109,-132,-157,749.722301318015,292.82536401806004,False,0.1
738.2488371888385,276.7277431878549,-128,-152,728.9629348725641,279.8467654204798,False,0.1
725.8966302615175,262.0626864046545,-123,-146,736.411981506974,268.7763724095077,False,0.1
714.0093782468506,247.94964354380977,-118,-141,708.5963262446184,251.20593492634868,False,0.1
702.5870811448376,234.38861460532064,-114,-135,706.0103238421048,230.18275583047844,False,0.1
691.6297389554786,221.37959958918714,-109,-130,692.3967705273881,208.82842871839088,False,0.1
681.1373516787736,208.92259849540923,-104,-124,674.6170830883606,204.1292149715622,False,0.1
671.1099193147226,197.01761132398696,-100,-119,670.7876951371778,199.6389650229983,False,0.1
661.5474418633255,185.6646380749203,-95,-113,662.750855159786,186.92336864171392,False,0.1
652.4499193245824,174.86367874820925,-90,-108,650.0764079563544,176.94604067188277,False,0.1
643.8173516984933,164.61473334385383,-86,-102,648.6157238523842,164.93047535962566,False,0.1
635.6497389850582,154.91780186185403,-81,-96,640.3054553686762,151.3184448196721,False,0.1
627.9470811842772,145.77288430220983,-77,-91,622.8759061521788,148.33590965208288,True,0.1
620.7093782961501,137.17998066492126,-72,-85,617.0209727849725,137.80785793612355,True,0.1
613.9366303206771,129.13909094998832,-67,-80,611.7209285548862,132.70945456075611,True,0.1
607.628837257858,121.65021515741098,-63,74,603.6347812607908,113.51736630573089,True,0.1
601.7859991076929,128.5870770276327,-58,69,596.4632150783502,132.1155284239622,True,0.1
596.4081158701817,134.97192497549878,-53,63,595.8804422825405,133.5032946745614,True,0.1
591.4951875453246,140.80475900100927,-49,58,588.2144429510821,145.70111100090315,True,0.1
587.0472141331214,146.08557910416414,-44,52,582.370768733279,149.55163379183045,True,0.1
583.0641956335722,150.81438528496338,-39,47,581.8368082573157,155.85896425475934,False,0.1
579.546132046677,154.991177543407,-35,41,579.4597412238207,156.18728093106438,False,0.1
576.4930233724358,158.615955879495,-30,36,576.2253578597735,162.23076759591163,False,0.1
573.9048696108486,161.6887202932274,-25,30,571.8895968483388,168.48302517336873,False,0.1
571.7816707619153,164.20947078460415,-21,25,572.6784344526992,169.8879361986855,False,0.1
570.123426825636,166.1782073536253,-16,19,568.7643834016453,165.83798221452344,False,0.1
568.9301378020107,167.59493000029084,-11,14,565.1579195378714,172.43256246720318,False,0.1
568.2018036910393,168.45963872460075,-7,8,571.825414684257,178.13464649172576,False,0.1
567.938424492722,168.77233352655506,-2,3,554.4688687195186,170.90332367021398,False,0.1
567.938424492722,168.77233352655506,0,0,566.7755965364075,175.54766438547915,False,0.1
