POS_X,POS_Y,VEL_X,VEL_Y,SENSOR_X,SENSOR_Y,NEAR_BANK,TS
940.7251310398308,517.116069261727,-578,-686,841.3082145596,530.9102962336491,False,0.03333333333333333
921.5019237366232,494.29347340371584,-576,-684,1152.4265670594075,469.5312406261766,False,0.03333333333333333
902.3303780903772,471.5322124259664,-575,-682,867.4311849449072,486.472107506588,False,0.03333333333333333
883.2104941010926,448.8322863284787,-573,-680,863.0109822801608,484.5936082145524,False,0.03333333333333333
864.1422717687697,426.19369511125274,-572,-679,986.755485512433,498.87197388905975,False,0.03333333333333333
845.1257110934082,403.6164387742885,-570,-677,763.7316808628,410.41086641217873,False,0.03333333333333333
826.1608120750084,381.10051731758597,-568,-675,689.9628767045058,243.55126527199673,False,0.03333333333333333
807.2475747135701,358.6459307411452,-567,-673,792.6016486685241,483.4721395770787,False,0.03333333333333333
788.3859990090933,336.25267904496616,-565,-671,875.5490021795873,335.96062312016625,False,0.03333333333333333
769.5760849615781,313.9207622290489,-564,-669,816.8018735685982,361.6945700052835,False,0.03333333333333333
750.8178325710245,291.6501802933933,-562,-668,828.7930898758667,205.43452971450532,False,0.03333333333333333
732.1112418374324,269.44093323799945,-561,-666,528.697048908736,298.99097073896115,False,0.03333333333333333
713.4563127608019,247.29302106286735,-559,-664,755.4221718051673,146.20456478034333,False,0.03333333333333333
694.8530453411329,225.20644376799697,-558,-662,750.7156905319226,237.45647508474391,False,0.03333333333333333
676.3014395784254,203.18120135338833,-556,-660,437.7666654860926,117.38605810571057,False,0.03333333333333333
657.8014954726796,181.21729381904143,-554,-658,850.8041692863048,109.69719151073964,False,0.03333333333333333
639.3532130238953,159.31472116495627,-553,-657,671.9482681233069,220.76240590368457,False,0.03333333333333333
620.9565922320725,137.47348339113285,-551,-655,511.8942664104254,83.74617389720211,True,0.03333333333333333
602.6116330972112,115.69358049757115,-550,653,630.5889574631436,384.55171345627093,True,0.03333333333333333
584.3183356193116,137.4121485108711,-548,651,661.0313916264275,157.0825993826397,True,0.03333333333333333
566.0766997983735,159.06938164390934,-547,649,520.0382305463701,158.02328073166743,False,0.03333333333333333
547.886725634397,180.66527989668583,-545,647,594.2957847680084,157.6170875090881,False,0.03333333333333333
