POS_X,POS_Y,VEL_X,VEL_Y,SENSOR_X,SENSOR_Y,NEAR_BANK,TS
945.0199156214154,522.215017176957,-449,-533,942.9545974377513,518.6935003070914,False,0.03333333333333333
930.0914928997923,504.4913692341757,-447,-531,933.4049241749756,511.187258553074,False,0.03333333333333333
915.2147318351309,486.8290561716562,-446,-529,918.8006017206579,486.1728050842851,False,0.03333333333333333
900.389632427431,469.2280779893984,-444,-528,901.5517436509634,475.8928300789692,False,0.03333333333333333
885.6161946766927,451.6884346874023,-443,-526,885.604340637712,445.77287784437965,False,0.03333333333333333
870.8944185829158,434.210126265668,-441,-524,867.8544918840543,438.95050545701156,False,0.03333333333333333
856.2243041461006,416.7931527241954,-440,-522,854.6750332829778,422.4231068804357,False,0.03333333333333333
841.605851366247,399.4375140629846,-438,-520,840.3703356809805,407.5841765781504,False,0.03333333333333333
827.0390602433548,382.14321028203545,-437,-518,825.4531789071129,376.2677213895693,False,0.03333333333333333
812.5239307774242,364.9102413813481,-435,-516,804.8909276214561,360.74336612505647,False,0.03333333333333333
798.0604629684551,347.73860736092246,-433,-515,805.3829407066398,352.0440271224822,False,0.03333333333333333
783.6486568164477,330.6283082207585,-432,-513,776.6626809913383,325.3253365288219,False,0.03333333333333333
769.2885123214018,313.57934396085636,-430,-511,771.775695490077,320.47327401900566,False,0.03333333333333333
754.9800294833174,296.5917145812159,-429,-509,756.8023176476987,289.8959805851711,False,0.03333333333333333
740.7232083021945,279.66542008183717,-427,-507,743.043543931348,285.07723091051844,False,0.03333333333333333
726.5180487780333,262.8004604627202,-426,-505,721.6362955263775,269.70020682281444,False,0.03333333333333333
712.3645509108336,245.99683572386496,-424,-504,717.7002222519308,253.61758007854104,False,0.03333333333333333
698.2627147005954,229.25454586527144,-423,-502,695.8617812878922,235.31305116454644,False,0.03333333333333333
684.2125401473188,212.57359088693966,-421,-500,683.9749678468795,213.3460247442304,False,0.03333333333333333
670.2140272510037,195.9539707888696,-419,-498,674.3669076696738,201.12787744139118,False,0.03333333333333333
656.2671760116502,179.3956855710613,-418,-496,658.7924038772356,183.67634912437717,False,0.03333333333333333
642.3719864292583,162.89873523351474,-416,-494,643.140569162733,162.18027224667821,False,0.03333333333333333
628.5284585038279,146.46311977622992,-415,-493,632.825546921501,149.76641813634137,True,0.03333333333333333
614.736592235359,130.0888391992068,-413,-491,619.088223529418,137.0358496876697,True,0.03333333333333333
600.9963876238518,113.77589350244544,-412,489,606.6390817687104,115.3380392546597,True,0.03333333333333333
587.3078446693061,130.02750431894506,-410,487,590.4372920265915,138.28906023287962,True,0.03333333333333333
573.6709633717219,146.21778025518296,-409,485,573.5013744285661,145.01276716525607,True,0.03333333333333333
560.0857437310992,162.34672131115911,-407,483,563.7285786840508,163.8325638320334,False,0.03333333333333333
546.5521857474381,178.41432748687353,-406,482,548.3965863847015,180.72004083142588,False,0.03333333333333333
533.0702894207386,194.42059878232624,-404,480,524.3984354597701,197.51123762459162,False,0.03333333333333333
519.6400547510007,210.3655351975172,-402,478,521.9594767657214,211.20949052928972,False,0.03333333333333333
506.26148173822423,226.24913673244643,-401,476,500.0836779197451,228.36939764037294,False,0.03333333333333333
492.9345703824094,242.07140338711392,-399,474,487.7162116785059,232.2154016513767,False,0.03333333333333333
479.6593206835561,257.83233516151967,-398,472,479.6345588875072,262.7714388371494,False,0.03333333333333333
466.43573264166434,273.5319320556637,-396,470,458.6811716186797,269.4899487467611,False,0.03333333333333333
453.26380625673414,289.17019406954597,-395,469,460.51287272481744,292.3777607448932,False,0.03333333333333333
440.14354152876547,304.7471212031665,-393,467,438.2216140100162,307.33536800579543,False,0.03333333333333333
427.0749384577584,320.2627134565253,-392,465,422.49596579634607,323.9521658250915,False,0.03333333333333333
