POS_X,POS_Y,VEL_X,VEL_Y,SENSOR_X,SENSOR_Y,NEAR_BANK,TS
805.5944016908004,356.6832145727697,-2316,-2749,805.1191050332068,354.13541619291914,False,0.06666666666666667
651.395450009447,173.61176866658636,-2312,-2746,644.868047445463,178.100150530286,True,0.06666666666666667
497.4031449559398,-9.21433771855007,-2309,2742,502.3386427551418,-4.033912279010951,True,0.06666666666666667
343.6174865302788,173.3664291455394,-2306,2738,339.44197902843865,166.14879564808896,True,0.06666666666666667
190.038474732464,355.70185648858194,-2303,2735,199.26825542792272,354.81394598047507,True,0.06666666666666667
36.66610956249542,537.7919443105775,2300,2731,41.74615174962773,540.822944184643,True,0.06666666666666667
189.8318281046178,719.6366926115261,2297,2727,184.77444594193395,724.2678475164605,True,0.06666666666666667
342.79090001889404,901.2361013914278,2294,2723,342.2665231763209,895.06472879784,False,0.06666666666666667
495.543325305324,1082.5901706502825,2291,-2720,502.818460616401,1092.605612073809,True,0.06666666666666667
648.0891039639077,901.4814409124747,2288,-2716,654.919798286483,894.6018044906886,False,0.06666666666666667
800.4282359946453,720.6180506957138,2285,-2712,802.4903001715173,715.1758993949202,False,0.06666666666666667
952.5607213975367,539.9999999999999,2281,-2709,949.0623379548389,541.987828655027,False,0.06666666666666667
1104.486560172582,359.6272888253329,2278,-2705,1107.0934660794744,367.26829213364516,False,0.06666666666666667
1256.205752319781,179.49991717171287,2275,-2701,1277.2809481329095,187.87851969461278,True,0.06666666666666667
1407.7182978391336,-0.38211496086023544,2272,2698,1407.5946771849194,-5.368763720232684,True,0.06666666666666667
1559.0241967306401,179.25457765066594,2269,2694,1556.1789462511185,185.25175891054295,True,0.06666666666666667
1710.1234489943004,358.6459307411452,2266,2690,1700.1241477615242,342.46596604383143,False,0.06666666666666667
1861.0160546301145,537.7919443105775,2263,2687,1866.3095302759687,545.2286473832063,False,0.06666666666666667
2011.7020136380822,716.6926183589628,2260,2683,2019.6188623413946,702.1271889305423,True,0.06666666666666667
2162.181326018204,895.3479528863012,-2257,2679,2176.4190702611018,898.2476845534941,True,0.06666666666666667
